NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
0	8	80	0.071429	0.045455	2	0.017829	0.024664
1	6	69	0.066667	0.026316	1	0.016555	0.02223
2	12	136	0.090909	0.064865	6	0.040826	0.041811
3	7	91	0.28571	0.099174	6	0.026227	0.028177
4	10	141	0.17778	0.094675	8	0.037469	0.044453
5	11	149	0.090909	0.052632	5	0.043634	0.047283
6	5	40	0	0	0	0.0099045	0.012877
7	9	93	0	0	0	0.022508	0.029289
8	8	97	0.035714	0.017699	1	0.024964	0.032023
9	11	179	0.090909	0.046948	5	0.047197	0.057131
10	18	177	0.045752	0.061674	7	0.057174	0.058967
11	20	215	0.1	0.1155	19	0.080533	0.067845
12	29	220	0.078818	0.16244	32	0.10663	0.069444
13	13	149	0.17949	0.12174	14	0.061103	0.0497
14	12	173	0.15152	0.090909	10	0.05335	0.055778
15	25	188	0.086667	0.16667	26	0.087466	0.060253
16	8	129	0.17857	0.05618	5	0.0426	0.041774
17	12	114	0.13636	0.11688	9	0.039437	0.036816
18	11	140	0.27273	0.15152	15	0.048494	0.045677
19	11	118	0.12727	0.093333	7	0.036003	0.038359
20	9	118	0.11111	0.056338	4	0.031233	0.037031
21	12	120	0.10606	0.094595	7	0.034418	0.038815
22	14	139	0.065934	0.074074	6	0.033149	0.042941
23	5	61	0.1	0.029851	1	0.014321	0.020222
24	7	88	0.095238	0.040404	2	0.020184	0.02716
25	24	222	0.039855	0.076389	11	0.067486	0.067969
26	7	72	0.047619	0.023529	1	0.018116	0.022761
27	11	129	0.054545	0.04	3	0.030872	0.038773
28	7	90	0.14286	0.054054	3	0.022855	0.027491
29	25	200	0.09	0.16981	27	0.074093	0.062027
30	10	125	0.2	0.10526	9	0.034771	0.0375
31	19	147	0.093567	0.14815	16	0.047882	0.044003
32	7	66	0.14286	0.075949	3	0.017791	0.021125
33	11	159	0.054545	0.032258	3	0.038316	0.048432
34	10	132	0.088889	0.051948	4	0.034531	0.042943
35	13	136	0.10256	0.088398	8	0.046168	0.045275
36	8	108	0.14286	0.057971	4	0.035757	0.036829
37	13	139	0.20513	0.16327	16	0.052764	0.045564
38	19	204	0.11111	0.12298	19	0.07734	0.064667
39	14	187	0.17582	0.12214	16	0.06384	0.059447
40	27	220	0.059829	0.12426	21	0.091433	0.06935
41	9	99	0.19444	0.10769	7	0.031034	0.032664
42	11	133	0.12727	0.084337	7	0.039218	0.042338
43	12	135	0.10606	0.08284	7	0.041251	0.044001
44	7	75	0	0	0	0.020444	0.02537
45	8	75	0.10714	0.070588	3	0.019428	0.024908
46	7	90	0.28571	0.1165	6	0.020779	0.028019
47	8	77	0.10714	0.072289	3	0.017702	0.024697
48	10	99	0.088889	0.063492	4	0.028753	0.031662
49	9	127	0.13889	0.065359	5	0.032707	0.039374
50	16	158	0.175	0.17073	21	0.053528	0.047353
51	8	89	0.071429	0.035088	2	0.024568	0.027352
52	14	116	0.15385	0.15385	14	0.042394	0.036826
53	7	97	0.2381	0.080645	5	0.026464	0.030394
54	14	101	0.25275	0.26286	23	0.040224	0.030987
55	11	134	0.12727	0.081395	7	0.036267	0.040999
56	10	111	0.088889	0.058824	4	0.026882	0.03348
57	19	171	0.070175	0.10084	12	0.059106	0.054143
58	13	125	0.15385	0.14201	12	0.03901	0.041467
59	20	210	0.12105	0.14024	23	0.082064	0.067057
60	14	159	0.21978	0.15936	20	0.061143	0.050306
61	18	151	0.15686	0.19672	24	0.065603	0.05003
62	32	249	0.086694	0.20093	43	0.11532	0.077735
63	11	112	0.30909	0.18889	17	0.047493	0.037215
64	14	186	0.14286	0.097744	13	0.065204	0.059293
65	8	77	0.17857	0.097087	5	0.02585	0.025646
66	12	122	0.13636	0.10345	9	0.044248	0.040705
67	12	151	0.12121	0.084656	8	0.042309	0.048606
68	9	104	0.11111	0.065041	4	0.026723	0.032527
69	8	102	0	0	0	0.023043	0.0321
70	13	149	0.064103	0.059172	5	0.037642	0.047222
71	8	118	0.10714	0.046875	3	0.026657	0.037972
72	9	79	0.19444	0.13462	7	0.022974	0.024742
73	10	117	0.066667	0.041379	3	0.032081	0.035221
74	22	226	0.099567	0.12742	23	0.07979	0.069012
75	8	99	0.21429	0.091603	6	0.029272	0.031722
76	13	127	0.19231	0.15707	15	0.042154	0.039301
77	30	253	0.094253	0.20098	41	0.0942	0.077056
78	8	82	0.46429	0.20312	13	0.027424	0.025956
79	12	117	0.12121	0.10596	8	0.032572	0.036143
80	11	127	0.072727	0.053333	4	0.033915	0.041295
81	8	109	0.25	0.10294	7	0.028517	0.035051
82	8	78	0.28571	0.15385	8	0.023611	0.025334
83	11	102	0.14545	0.11034	8	0.034299	0.033073
84	10	97	0.26667	0.16	12	0.038844	0.032858
85	10	103	0.088889	0.066116	4	0.030476	0.033952
86	9	130	0.22222	0.090909	8	0.042759	0.043549
87	9	82	0.27778	0.15748	10	0.032404	0.026746
88	26	214	0.083077	0.16024	27	0.087992	0.068588
89	17	160	0.095588	0.11982	13	0.050698	0.050774
90	6	93	0.2	0.055556	3	0.025616	0.031555
91	15	190	0.07619	0.064257	8	0.055221	0.059482
92	9	113	0.083333	0.045802	3	0.028473	0.035547
93	9	109	0.027778	0.016949	1	0.024276	0.033816
94	6	77	0.13333	0.044944	2	0.019067	0.024639
95	8	85	0.035714	0.021739	1	0.019723	0.026904
96	8	90	0.32143	0.15254	9	0.026974	0.029848
97	27	228	0.076923	0.15084	27	0.083383	0.069286
98	5	61	0.5	0.12821	5	0.018283	0.019742
99	9	78	0.13889	0.09901	5	0.02246	0.023865
100	6	69	0.4	0.12371	6	0.020167	0.021905
101	13	109	0.20513	0.19277	16	0.036184	0.033572
102	11	124	0.16364	0.10588	9	0.036462	0.038745
103	7	82	0.095238	0.042105	2	0.01965	0.026108
104	9	101	0.11111	0.066667	4	0.025365	0.032225
105	21	164	0.057143	0.11429	12	0.048424	0.051326
106	10	125	0.13333	0.075472	6	0.033933	0.039746
107	8	90	0.17857	0.089286	5	0.025395	0.029284
108	21	213	0.090476	0.11838	19	0.075906	0.067033
109	10	125	0.22222	0.11628	10	0.042994	0.041398
110	21	199	0.07619	0.1115	16	0.074398	0.063086
111	8	115	0.17857	0.071429	5	0.032985	0.037662
112	24	204	0.057971	0.11552	16	0.06743	0.063158
113	5	70	0.4	0.1	4	0.017156	0.022195
114	11	121	0.090909	0.070423	5	0.033613	0.039764
115	7	90	0.14286	0.057692	3	0.024092	0.029238
116	10	96	0.044444	0.037383	2	0.023518	0.030602
117	6	57	0.066667	0.030303	1	0.013751	0.017786
118	14	175	0.087912	0.073733	8	0.045404	0.052776
119	7	78	0.47619	0.17857	10	0.024283	0.025206
120	9	106	0.27778	0.14085	10	0.032522	0.035216
121	25	263	0.073333	0.12022	22	0.078766	0.076797
122	9	108	0.25	0.12081	9	0.031809	0.033242
123	9	94	0.19444	0.12174	7	0.023055	0.028633
124	19	159	0.093567	0.14953	16	0.047098	0.049245
125	8	103	0.10714	0.05042	3	0.024926	0.032153
126	20	196	0.057895	0.08365	11	0.058416	0.060168
127	10	129	0.022222	0.012987	1	0.03085	0.040657
128	9	96	0.083333	0.047619	3	0.028576	0.031598
129	11	142	0.072727	0.044693	4	0.036373	0.044842
130	10	142	0.066667	0.037037	3	0.033057	0.04348
131	23	201	0.090909	0.15972	23	0.068312	0.062846
132	9	121	0.30556	0.13095	11	0.037908	0.038827
133	14	121	0.13187	0.13483	12	0.041808	0.037871
134	10	134	0.066667	0.037975	3	0.036875	0.043997
135	14	134	0.16484	0.15306	15	0.047606	0.042951
136	17	150	0.13971	0.17757	19	0.05093	0.047549
137	7	95	0.2381	0.088496	5	0.023154	0.029424
138	13	124	0.051282	0.05	4	0.039287	0.041837
139	11	124	0.072727	0.051282	4	0.03482	0.039564
140	7	82	0.19048	0.080808	4	0.020607	0.026153
141	12	106	0.060606	0.064	4	0.030185	0.034204
142	8	95	0.25	0.10294	7	0.03059	0.030968
